CountryCode,Language,IsOfficial
MHL,Marshallese,TRUE
MKD,Albaniana,FALSE
MKD,Macedonian,TRUE
MKD,Romani,FALSE
MKD,Serbo-Croatian,FALSE
MKD,Turkish,FALSE
MLI,Bambara,FALSE
MLI,Ful,FALSE
MLI,Songhai,FALSE
MLI,Soninke,FALSE
MLI,Tamashek,FALSE
MLT,English,TRUE
MLT,Maltese,TRUE
MMR,Burmese,TRUE
MMR,Chin,FALSE
MMR,Kachin,FALSE
MMR,Karen,FALSE
MMR,Kayah,FALSE
MMR,Mon,FALSE
MMR,Rakhine,FALSE
MMR,Shan,FALSE
MNG,Bajad,FALSE
MNG,Buryat,FALSE
MNG,Dariganga,FALSE
MNG,Dorbet,FALSE
MNG,Kazakh,FALSE
MNG,Mongolian,TRUE
MNP,Carolinian,FALSE
MNP,Chamorro,FALSE
MNP,Chinese,FALSE
MNP,English,TRUE
MNP,Korean,FALSE
MOZ,Chuabo,FALSE
MOZ,Lomwe,FALSE
MOZ,Makua,FALSE
MOZ,Marendje,FALSE
MOZ,Nyanja,FALSE
MOZ,Ronga,FALSE
MOZ,Sena,FALSE
MOZ,Shona,FALSE
MOZ,Tsonga,FALSE
MOZ,Tswa,FALSE
MRT,Ful,FALSE
MRT,Hassaniya,FALSE
MRT,Soninke,FALSE
MRT,Tukulor,FALSE
MRT,Wolof,FALSE
MRT,Zenaga,FALSE
MSR,English,TRUE
MTQ,French,TRUE
MUS,Bhojpuri,FALSE
MUS,French,FALSE
MUS,Hindi,FALSE
MUS,Marathi,FALSE
MUS,Tamil,FALSE
MWI,Chichewa,TRUE
MWI,Lomwe,FALSE
MWI,Ngoni,FALSE
MWI,Yao,FALSE
MYS,Chinese,FALSE
MYS,Dusun,FALSE
MYS,English,FALSE
MYS,Iban,FALSE
MYS,Malay,TRUE
MYS,Tamil,FALSE
MYT,French,TRUE
MYT,Mahoré,FALSE
MYT,Malagasy,FALSE
NAM,Afrikaans,FALSE
NAM,Caprivi,FALSE
NAM,German,FALSE
NAM,Herero,FALSE
NAM,Kavango,FALSE
NAM,Nama,FALSE
NAM,Ovambo,FALSE
NAM,San,FALSE
NCL,French,TRUE
NER,Ful,FALSE
NER,Hausa,FALSE
NER,Kanuri,FALSE
NER,Songhai-zerma,FALSE
NER,Tamashek,FALSE
NFK,English,TRUE
NGA,Bura,FALSE
NGA,Edo,FALSE
NGA,Ful,FALSE
NGA,Hausa,FALSE
NGA,Ibibio,FALSE
NGA,Ibo,FALSE
NGA,Ijo,FALSE
NGA,Joruba,FALSE
NGA,Kanuri,FALSE
NGA,Tiv,FALSE
NIC,Miskito,FALSE
NIC,Spanish,TRUE
NIC,Sumo,FALSE
NIU,English,TRUE
NIU,Niue,FALSE
NLD,Arabic,FALSE
NLD,Dutch,TRUE
NLD,Fries,FALSE
NLD,Turkish,FALSE
NOR,Danish,FALSE
NOR,English,FALSE
NOR,Norwegian,TRUE
NOR,Saame,FALSE
NOR,Swedish,FALSE
NPL,Bhojpuri,FALSE
NPL,Hindi,FALSE
NPL,Maithili,FALSE
NPL,Nepali,TRUE
NPL,Newari,FALSE
NPL,Tamang,FALSE
NPL,Tharu,FALSE
NRU,Chinese,FALSE
NRU,English,TRUE
NRU,Kiribati,FALSE
NRU,Nauru,TRUE
NRU,Tuvalu,FALSE
NZL,English,TRUE
NZL,Maori,FALSE
OMN,Arabic,TRUE
OMN,Balochi,FALSE
PAK,Balochi,FALSE
PAK,Brahui,FALSE
PAK,Hindko,FALSE
PAK,Pashto,FALSE
PAK,Punjabi,FALSE
PAK,Saraiki,FALSE
PAK,Sindhi,FALSE
PAK,Urdu,TRUE
PAN,Arabic,FALSE
PAN,Cuna,FALSE
PAN,Embera,FALSE
PAN,Guaymí,FALSE
PAN,Spanish,TRUE
PCN,Pitcairnese,FALSE
PER,Aimará,TRUE
PER,Ketšua,TRUE
PER,Spanish,TRUE
PHL,Bicol,FALSE
PHL,Cebuano,FALSE
PHL,Hiligaynon,FALSE
PHL,Ilocano,FALSE
PHL,Maguindanao,FALSE
PHL,Maranao,FALSE
PHL,Pampango,FALSE
PHL,Pangasinan,FALSE
PHL,Pilipino,TRUE
PHL,Waray-waray,FALSE
PLW,Chinese,FALSE
PLW,English,TRUE
PLW,Palau,TRUE
